>>>>> statistic <<<<<	NameOfTAS:	sprg_sprf_sr75	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	293	0	312	18	326	14	30	24	310	26	38		
1. sequence analysis	round2	295	54	680	31	326	14	31	25	312	28	39		
1. sequence analysis	round3	295	0	708	38	326	14	32	26	312	28	40		
1. sequence analysis	round4	295	0	1068	48	326	14	32	26	313	29	40		
1. sequence analysis	round5	295	0	1222	51	326	14	32	26	313	29	40		
2. structure analysis	structure of round5	304	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_sprg_sprf_sr75_round5_0001	---	---	1688	220	---	---	---	---	---	---	---		
2. structure analysis	t_nt_sprg_sprf_sr75_round5_0001	---	---	---	---	308	21	---	---	---	---	---		
2. structure analysis	t_pro_sprg_sprf_sr75_round5_0001	---	---	---	---	---	---	---	---	687	412	---		
3. combined analysis	BlastRound5&Infernal	303	0	604	17	604	16	0	0	494	13	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	303	0		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	367	--	--	--	262	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	604	--	237	--	--	--	232	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Staphylococcus_argenteus	2	0	4	2	4	1	0	0	4	1	0	
	Staphylococcus_aureus	298	0	596	14	596	15	0	0	487	12	0	
	Staphylococcus_pasteuri	2	0	2	1	2	1	0	0	2	1	0	
	Staphylococcus_schweitzeri	1	0	2	1	2	1	0	0	1	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
