>>>>> statistic <<<<<	NameOfTAS:	dinq_agrb_evalue_maxS	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	484	231	1033	24	571	7	22	17	564	3	17		
1. sequence analysis	round2	795	231	1510	58	861	17	22	17	856	20	19		
1. sequence analysis	round3	417	69	1962	72	882	27	22	17	881	21	19		
1. sequence analysis	round4	452	51	1985	83	950	36	23	18	881	21	20		
1. sequence analysis	round5	452	51	2022	89	953	41	23	18	887	25	22		
2. structure analysis	structure of round5	1273	249	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_dinq_agrb_evalue_maxS_round5_0001	---	---	2323	214	---	---	---	---	---	---	---		
2. structure analysis	t_nt_dinq_agrb_evalue_maxS_round5_0001	---	---	---	---	1593	144	---	---	---	---	---		
2. structure analysis	t_pro_dinq_agrb_evalue_maxS_round5_0001	---	---	---	---	---	---	---	---	1347	108	---		
3. combined analysis	BlastRound5&Infernal	433	36	545	22	864	16	0	0	848	15	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	127	36		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	34	--	--	--	21	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	192	--	830	--	--	--	827	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Citrobacter_sp	1	33	1	1	2	1	0	0	1	1	0	
	Escherichia_albertii	6	33	9	4	12	2	0	0	12	2	0	
	Escherichia_coli	390	36	492	16	778	13	0	0	768	12	0	
	Salmonella_enterica	4	33	8	3	8	2	0	0	4	2	0	
	Shigella_boydii	14	33	16	2	28	2	0	0	28	2	0	
	Shigella_dysenteriae	16	33	17	3	32	3	0	0	31	3	0	
	Shigella_flexneri	1	33	1	1	2	1	0	0	2	1	0	
	Shigella_sp	1	33	1	1	2	1	0	0	2	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
