>>>>> statistic <<<<<	NameOfTAS:	ralr_rala	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	348	3	374	42	346	29	36	26	366	37	35		
1. sequence analysis	round2	348	3	374	42	347	30	40	30	372	44	42		
1. sequence analysis	round3	348	3	374	42	347	30	43	33	374	46	45		
1. sequence analysis	round4	348	3	374	42	347	30	48	38	381	52	50		
1. sequence analysis	round5	348	3	374	42	347	30	48	38	381	53	51		
2. structure analysis	structure of round5	348	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_ralr_rala_round5_0001	---	---	375	43	---	---	---	---	---	---	---		
2. structure analysis	t_nt_ralr_rala_round5_0001	---	---	---	---	351	35	---	---	---	---	---		
2. structure analysis	t_pro_ralr_rala_round5_0001	---	---	---	---	---	---	---	---	402	71	---		
3. combined analysis	BlastRound5&Infernal	348	0	698	33	696	33	0	0	698	34	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	348	0		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	692	--	--	--	691	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	81	--	1	--	--	--	1	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	617	--	3	--	--	--	6	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Escherichia_albertii	1	0	2	1	2	1	0	0	2	1	0	
	Escherichia_coli	337	0	676	28	676	30	0	0	676	31	0	
	Salmonella_enterica	9	0	18	5	16	5	0	0	18	5	0	
	Shigella_sp	1	0	2	1	2	1	0	0	2	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
