>>>>> statistic <<<<<	NameOfTAS:	dinq_agrb	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	3	33	1033	24	571	7	5	4	0	0	0		
1. sequence analysis	round2	14	33	1456	55	861	17	11	8	0	0	0		
1. sequence analysis	round3	96	69	1611	65	882	27	14	10	0	0	0		
1. sequence analysis	round4	131	54	1646	76	950	36	16	11	0	0	0		
1. sequence analysis	round5	131	54	1662	83	953	41	16	11	0	0	0		
2. structure analysis	structure of round5	143	87	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_dinq_agrb_round5_0001	---	---	2310	209	---	---	---	---	---	---	---		
2. structure analysis	t_nt_dinq_agrb_round5_0001	---	---	---	---	1593	144	---	---	---	---	---		
3. combined analysis	BlastRound5&Infernal	112	36	223	21	222	12	0	0	0	0	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	111	36		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	34	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	176	--	188	--	--	--	0	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Citrobacter_sp	1	33	1	1	2	1	0	0	0	0	0	
	Escherichia_albertii	3	33	6	3	6	2	0	0	0	0	0	
	Escherichia_coli	101	36	202	14	200	9	0	0	0	0	0	
	Salmonella_enterica	4	36	8	3	8	2	0	0	0	0	0	
	Shigella_boydii	2	33	4	1	4	1	0	0	0	0	0	
	Shigella_dysenteriae	1	36	2	1	2	1	0	0	0	0	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
