>>>>> statistic <<<<<	NameOfTAS:	tisb_istr	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	1	0	564	23	730	8	16	10	0	0	0		
1. sequence analysis	round2	1	0	740	31	1431	18	26	15	176	4	15		
1. sequence analysis	round3	1	0	740	31	1542	34	27	16	176	4	16		
1. sequence analysis	round4	1	0	740	31	1564	43	27	16	176	4	16		
1. sequence analysis	round5	1	0	740	31	1569	48	27	16	176	4	16		
2. structure analysis	structure of round5	3	84	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_tisb_istr_round5_0001	---	---	2198	165	---	---	---	---	---	---	---		
2. structure analysis	t_nt_tisb_istr_round5_0001	---	---	---	---	2220	89	---	---	---	---	---		
2. structure analysis	t_pro_tisb_istr_round5_0001	---	---	---	---	---	---	---	---	2181	85	---		
3. combined analysis	BlastRound5&Infernal	3	84	4	3	6	3	0	0	3	3	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	3	84		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	3	--	6	--	--	--	3	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Citrobacter_werkmanii	1	0	1	1	2	1	0	0	1	1	0	
	Escherichia_coli	1	0	2	1	2	1	0	0	1	1	0	
	Shigella_flexneri	1	84	1	1	2	1	0	0	1	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
