>>>>> extend statistic <<<<<	NameOfTAS:	shob_ohsc_sr	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	2	324	10	10	9	9	0	0	0	0	0		
1. sequence analysis	round2	4	324	24	24	12	12	0	0	0	0	0		
1. sequence analysis	round3	5	324	27	27	12	12	0	0	0	0	0		
1. sequence analysis	round4	5	324	29	29	12	12	0	0	0	0	0		
1. sequence analysis	round5	5	324	29	29	12	12	0	0	0	0	0		
2. structure analysis	extend structure of round5	864	324	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_shob_ohsc_sr_round5_extend_0001	---	---	882	38	---	---	---	---	---	---	---		
2. structure analysis	t_nt_shob_ohsc_sr_round5_extend_0001	---	---	---	---	886	25	---	---	---	---	---		
2. structure analysis	t_pro_shob_ohsc_sr_round5_extend_0001	---	---	---	---	---	---	---	---	887	26	---		
3. combined analysis	ExtendBlastRound5&Infernal	45	324	73	31	58	19	0	0	64	19	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	28	324		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	64	--	50	--	--	--	55	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Escherichia_albertii	10	324	17	8	11	4	0	0	14	4	0	
	Escherichia_coli	29	324	46	19	41	14	0	0	42	14	0	
	Shigella_boydii	4	324	6	4	4	3	0	0	6	3	0	
	Shigella_dysenteriae	1	324	2	1	1	1	0	0	1	1	0	
	Shigella_flexneri	1	324	2	1	1	1	0	0	1	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
