>>>>> statistic <<<<<	NameOfTAS:	fst_rna1	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	13	42	13	4	13	4	16	11	74	21	19		
1. sequence analysis	round2	13	42	13	4	13	4	16	11	82	24	21		
1. sequence analysis	round3	13	42	13	4	13	4	16	11	82	24	21		
1. sequence analysis	round4	13	42	13	4	13	4	16	11	82	24	21		
1. sequence analysis	round5	13	42	13	4	13	4	16	11	82	24	21		
2. structure analysis	structure of round5	23	60	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_fst_rna1_round5_0001	---	---	35	17	---	---	---	---	---	---	---		
2. structure analysis	t_nt_fst_rna1_round5_0001	---	---	---	---	23	14	---	---	---	---	---		
2. structure analysis	t_pro_fst_rna1_round5_0001	---	---	---	---	---	---	---	---	148	66	---		
3. combined analysis	BlastRound5&Infernal	13	42	26	4	26	4	0	0	26	4	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	13	42		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	19	--	--	--	19	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	13	--	--	--	13	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	18	--	7	--	--	--	7	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Enterococcus_faecalis	13	42	26	4	26	4	0	0	26	4	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
