551744bt	Phytobacter_ursingii_strain_CAV1151_chromosome_complete_genome	genome	+	NZ_CP011602.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	3946239	3946628	390	4	89	141	5529134
2864it	Phytobacter_ursingii_strain_CAV1151_chromosome_complete_genome	genome	+	NZ_CP011602.1	t_pro_syme_symr	not defined	infernal	1.2e-17	3946272	3946502	230	0	0	0	0
1001821bt	Phytobacter_ursingii_strain_CAV1151_chromosome_complete_genome	genome	+	NZ_CP011602.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	3946290	3946607	318	1	327	338	5529134
906it	Phytobacter_ursingii_strain_CAV1151_chromosome_complete_genome	genome	+	NZ_CP011602.1	t_nt_syme_symr	not defined	infernal	2e-103	3946290	3946603	313	0	0	0	0
1022bat	Phytobacter_ursingii_strain_CAV1151_chromosome_complete_genome	genome	-	NZ_CP011602.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	3946295	3946232	64	1	64	64	5529134
1192iat	Phytobacter_ursingii_strain_CAV1151_chromosome_complete_genome	genome	-	NZ_CP011602.1	at_nt_syme_symr	not defined	infernal	5.8e-12	3946295	3946219	76	0	0	0	0
33030bat	Phytobacter_ursingii_strain_CAV1151_plasmid_pCAV1151_215_complete_sequence	genome	-	NZ_CP011600.1	at_nt_hok_sok_tadb_r2	NaN - rows are merged	blastn	NaN - rows are merged	58679	58460	220	9	223	227	215092
1397iat	Phytobacter_ursingii_strain_CAV1151_plasmid_pCAV1151_215_complete_sequence	genome	-	NZ_CP011600.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1.4e-64	58679	58460	219	0	0	0	0
2317it	Phytobacter_ursingii_strain_CAV1151_plasmid_pCAV1151_215_complete_sequence	genome	-	NZ_CP011600.1	t_pro_hok_sok_tadb_r2	not defined	infernal	2.4e-23	58694	58544	150	0	0	0	0
159704bt	Phytobacter_ursingii_strain_CAV1151_plasmid_pCAV1151_215_complete_sequence	genome	-	NZ_CP011600.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	58698	58543	156	1	52	52	215092
1808iat	Phytobacter_ursingii_strain_CAV1151_plasmid_pCAV1151_296_complete_sequence	genome	-	NZ_CP011601.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1.8e-43	25793	25579	214	0	0	0	0
3217it	Phytobacter_ursingii_strain_CAV1151_plasmid_pCAV1151_296_complete_sequence	genome	-	NZ_CP011601.1	t_pro_hok_sok_tadb_r2	not defined	infernal	2.4e-22	25808	25658	150	0	0	0	0
180273bt	Phytobacter_ursingii_strain_CAV1151_plasmid_pCAV1151_296_complete_sequence	genome	-	NZ_CP011601.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	25812	25657	156	1	52	52	295619
