>>>>> statistic <<<<<	NameOfTAS:	txpa_rata_bacillus	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	39	0	39	2	39	3	4	3	39	3	3		
1. sequence analysis	round2	39	0	43	3	39	3	4	3	39	3	3		
1. sequence analysis	round3	39	0	44	4	39	3	4	3	39	3	3		
1. sequence analysis	round4	39	0	91	8	39	3	4	3	39	3	3		
1. sequence analysis	round5	39	0	109	13	39	3	4	3	39	3	3		
2. structure analysis	structure of round5	39	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_txpa_rata_bacillus_round5_0001	---	---	197	39	---	---	---	---	---	---	---		
2. structure analysis	t_nt_txpa_rata_bacillus_round5_0001	---	---	---	---	39	3	---	---	---	---	---		
2. structure analysis	t_pro_txpa_rata_bacillus_round5_0001	---	---	---	---	---	---	---	---	39	3	---		
3. combined analysis	BlastRound5&Infernal	39	0	78	2	78	3	0	0	78	3	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	39	0		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	39	--	77	--	--	--	77	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	40	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	0	--	1	--	--	--	1	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Bacillus_sp	6	0	12	2	12	3	0	0	12	3	0	
	Bacillus_subtilis	33	0	66	1	66	1	0	0	66	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
