456691bt	Cronobacter_malonaticus_LMG_23826_complete_genome	genome	-	NZ_CP013940.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	334132	333968	165	1	55	55	4294639
10053it	Cronobacter_malonaticus_LMG_23826_complete_genome	genome	-	NZ_CP013940.1	t_pro_hok_sok_ena	not defined	infernal	9.3e-13	334145	333993	152	0	0	0	0
5406iat	Cronobacter_malonaticus_LMG_23826_complete_genome	genome	-	NZ_CP013940.1	at_nt_hok_sok_ena	not defined	infernal	0.0024	334280	334221	59	0	0	0	0
2566it	Cronobacter_malonaticus_LMG_23826_complete_genome	genome	-	NZ_CP013940.1	t_nt_hok_sok_ena	not defined	infernal	2.9e-05	334657	334505	152	0	0	0	0
456690bt	Cronobacter_malonaticus_LMG_23826_complete_genome	genome	-	NZ_CP013940.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	334657	334493	165	1	55	55	4294639
10009it	Cronobacter_malonaticus_LMG_23826_complete_genome	genome	-	NZ_CP013940.1	t_pro_hok_sok_ena	not defined	infernal	1.5e-13	334670	334517	153	0	0	0	0
4898iat	Cronobacter_malonaticus_LMG_23826_complete_genome	genome	-	NZ_CP013940.1	at_nt_hok_sok_ena	not defined	infernal	2.4e-05	334805	334746	59	0	0	0	0
456693bt	Cronobacter_malonaticus_complete_genome	genome	-	NC_023032.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	482661	482497	165	1	55	55	4377544
10054it	Cronobacter_malonaticus_complete_genome	genome	-	NC_023032.1	t_pro_hok_sok_ena	not defined	infernal	9.3e-13	482674	482522	152	0	0	0	0
5407iat	Cronobacter_malonaticus_complete_genome	genome	-	NC_023032.1	at_nt_hok_sok_ena	not defined	infernal	0.0024	482809	482750	59	0	0	0	0
2567it	Cronobacter_malonaticus_complete_genome	genome	-	NC_023032.1	t_nt_hok_sok_ena	not defined	infernal	2.9e-05	483186	483034	152	0	0	0	0
456692bt	Cronobacter_malonaticus_complete_genome	genome	-	NC_023032.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	483186	483022	165	1	55	55	4377544
10010it	Cronobacter_malonaticus_complete_genome	genome	-	NC_023032.1	t_pro_hok_sok_ena	not defined	infernal	1.5e-13	483199	483046	153	0	0	0	0
4899iat	Cronobacter_malonaticus_complete_genome	genome	-	NC_023032.1	at_nt_hok_sok_ena	not defined	infernal	2.4e-05	483334	483275	59	0	0	0	0
