10325bat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	at_nt_tisb_istr	unknown	blastn	0	31249	31388	139	0	0	0	4570938
12764bat	Escherichia_coli_IAI39_chromosome_complete_genome	genome	-	NC_011750.1	at_nt_tisb_istr	unknown	blastn	0	4452198	4452059	139	0	0	0	5132068
11412bat	Escherichia_coli_strain_2013C_4991_chromosome_complete_genome	genome	+	NZ_CP027355.1	at_nt_tisb_istr	unknown	blastn	0	3785742	3785881	139	0	0	0	5367251
11414bat	Escherichia_coli_strain_M160133_chromosome_complete_genome	genome	+	NZ_CP022164.1	at_nt_tisb_istr	unknown	blastn	0	30435	30574	139	0	0	0	4957100
12655bat	Escherichia_coli_O157_H16_strain_Santai_complete_genome	genome	-	NZ_CP007592.1	at_nt_tisb_istr	unknown	blastn	0	4416377	4416238	139	0	0	0	5104557
10769bat	Escherichia_coli_strain_S50_complete_genome	genome	-	NZ_CP010238.1	at_nt_tisb_istr	unknown	blastn	0	1909313	1909174	139	0	0	0	4797106
10358bat	Escherichia_coli_O157_H7_strain_TR01_chromosome_complete_genome	genome	-	NZ_CP033605.1	at_nt_tisb_istr	unknown	blastn	0	4744484	4744345	139	0	0	0	5569804
10073bat	Escherichia_coli_strain_14EC033_chromosome_complete_genome	genome	+	NZ_CP024147.1	at_nt_tisb_istr	unknown	blastn	0	26813	26952	139	0	0	0	4639454
10076bat	Shigella_flexneri_strain_FDAARGOS_74_chromosome_complete_genome	genome	+	NZ_CP026098.1	at_nt_tisb_istr	unknown	blastn	0	388719	388858	139	0	0	0	4576448
10736bat	Shigella_boydii_strain_ATCC_49812_chromosome_complete_genome	genome	-	NZ_CP026836.1	at_nt_tisb_istr	unknown	blastn	0	3692600	3692461	139	0	0	0	5106737
10391bat	Escherichia_coli_strain_NCTC11023_genome_assembly_chromosome_1	genome	+	NZ_LS483297.1	at_nt_tisb_istr	unknown	blastn	0	30473	30612	139	0	0	0	4705041
10276bat	Escherichia_coli_strain_2012C_4221_chromosome_complete_genome	genome	+	NZ_CP027437.1	at_nt_tisb_istr	unknown	blastn	0	3092559	3092698	139	0	0	0	5012557
10035bat	Escherichia_coli_O145_H28_str_RM12581_complete_genome	genome	-	NZ_CP007136.1	at_nt_tisb_istr	unknown	blastn	0	4624965	4624826	139	0	0	0	5585611
11142bat	Escherichia_coli_PCN033_complete_genome	genome	-	NZ_CP006632.1	at_nt_tisb_istr	unknown	blastn	0	4088099	4087960	139	0	0	0	4987957
1021bat	Escherichia_coli_strain_2016C_3936C1_chromosome_complete_genome	chromosome	+	NZ_CP018770.2	at_nt_tisb_istr	unknown	blastn	0	4865210	4865349	139	0	0	0	5060620
10117bat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	at_nt_tisb_istr	unknown	blastn	0	4651250	4651389	139	0	0	0	4849628
10074bat	Escherichia_coli_strain_06_00048_chromosome_complete_genome	genome	-	NZ_CP015229.1	at_nt_tisb_istr	unknown	blastn	0	4672383	4672244	139	0	0	0	5498453
10155bat	Escherichia_coli_strain_2013C_4282_chromosome_complete_genome	genome	+	NZ_CP027579.1	at_nt_tisb_istr	unknown	blastn	0	3621158	3621297	139	0	0	0	5030044
10072bat	Escherichia_coli_strain_746_chromosome_complete_genome	genome	+	NZ_CP023353.1	at_nt_tisb_istr	unknown	blastn	0	73670	73809	139	0	0	0	5089615
10064bat	Shigella_dysenteriae_strain_ATCC_12039_chromosome_complete_genome	genome	-	NZ_CP026831.1	at_nt_tisb_istr	unknown	blastn	0	4068046	4067907	139	0	0	0	4880735
11108bat	Escherichia_coli_strain_FORC_082_chromosome_complete_genome	genome	+	NZ_CP026641.1	at_nt_tisb_istr	unknown	blastn	0	30900	31039	139	0	0	0	4728307
10729bat	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	-	NZ_CP026810.1	at_nt_tisb_istr	unknown	blastn	0	4526288	4526149	139	0	0	0	4531304
10659bat	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	at_nt_tisb_istr	unknown	blastn	0	4133967	4133829	138	0	0	0	4948797
10468bat	Escherichia_coli_SE11_DNA_complete_genome	genome	-	NC_011415.1	at_nt_tisb_istr	unknown	blastn	0	4102131	4101993	138	0	0	0	4887515
10695bat	Escherichia_coli_B7A_complete_genome	genome	+	NZ_CP005998.1	at_nt_tisb_istr	unknown	blastn	0	3140805	3140943	138	0	0	0	4944397
11174bat	Escherichia_coli_55989_chromosome_complete_genome	genome	-	NC_011748.1	at_nt_tisb_istr	unknown	blastn	0	4228277	4228138	139	0	0	0	5154862
10696bat	Escherichia_coli_ACN001_complete_genome	genome	-	NZ_CP007442.1	at_nt_tisb_istr	unknown	blastn	0	4051420	4051281	139	0	0	0	4936576
10680bat	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	at_nt_tisb_istr	unknown	blastn	0	3969158	3969297	139	0	0	0	4615997
10693bat	Escherichia_coli_strain_13E0725_chromosome_complete_genome	genome	-	NZ_CP020092.1	at_nt_tisb_istr	unknown	blastn	0	45451	45312	139	0	0	0	5112484
11938bat	Escherichia_coli_ECC_1470_complete_genome	genome	-	NZ_CP010344.1	at_nt_tisb_istr	unknown	blastn	0	3999680	3999541	139	0	0	0	4803751
10725bat	Shigella_dysenteriae_strain_ATCC_9752_chromosome_complete_genome	genome	-	NZ_CP026839.1	at_nt_tisb_istr	unknown	blastn	0	618940	618801	139	0	0	0	4273636
20616bt	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	-	NZ_CP020448.2	t_nt_tisb_istr	unknown	blastn	0	3577680	3577591	89	0	0	0	5244290
20623bt	Citrobacter_freundii_strain_705SK3_chromosome_complete_genome	genome	-	NZ_CP022151.1	t_nt_tisb_istr	unknown	blastn	0	31482	31393	89	0	0	0	5242839
20632bt	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	+	NZ_CP022049.2	t_nt_tisb_istr	unknown	blastn	0	2666894	2666983	89	0	0	0	4834774
20634bt	Citrobacter_sp_CRE_46_strain_AR_0157_chromosome_complete_genome	genome	-	NZ_CP029727.1	t_nt_tisb_istr	unknown	blastn	0	913993	913904	89	0	0	0	5262516
