>>>>> statistic <<<<<	NameOfTAS:	hok_sok_ena	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	0	0	576	30	435	27	305	202	704	94	207		
1. sequence analysis	round2	862	24	1159	45	718	72	972	626	7563	781	666		
1. sequence analysis	round3	876	90	2327	87	840	100	1117	740	10573	1161	817		
1. sequence analysis	round4	1009	90	2946	121	1017	118	1160	774	11087	1307	897		
1. sequence analysis	round5	2712	90	3041	129	1022	121	1161	789	11118	1453	1028		
2. structure analysis	structure of round5	2474	90	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_hok_sok_ena_round5_0001	---	---	5672	266	---	---	---	---	---	---	---		
2. structure analysis	t_nt_hok_sok_ena_round5_0001	---	---	---	---	5760	619	---	---	---	---	---		
2. structure analysis	t_pro_hok_sok_ena_round5_0001	---	---	---	---	---	---	---	---	11202	1312	---		
3. combined analysis	BlastRound5&Infernal	4217	90	6895	236	879	148	0	0	8441	660	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	4188	90		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	404	--	--	--	1682	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	1176	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	4927	--	475	--	--	--	6745	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Aeromonas_salmonicida	14	72	14	3	0	0	0	0	28	7	0	
	Atlantibacter_hermannii	2	78	2	2	2	2	0	0	4	4	0	
	Buttiauxella_sp	1	75	1	1	0	0	0	0	2	1	0	
