>>>>> statistic <<<<<	NameOfTAS:	shob_ohsc	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	8	78	571	10	571	9	11	7	0	0	0		
1. sequence analysis	round2	9	78	795	24	776	12	13	8	0	0	0		
1. sequence analysis	round3	9	78	878	27	777	12	13	8	0	0	0		
1. sequence analysis	round4	9	78	879	29	777	12	13	8	0	0	0		
1. sequence analysis	round5	9	78	879	29	777	12	13	8	0	0	0		
2. structure analysis	structure of round5	11	75	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_shob_ohsc_round5_0001	---	---	882	38	---	---	---	---	---	---	---		
2. structure analysis	t_nt_shob_ohsc_round5_0001	---	---	---	---	886	25	---	---	---	---	---		
3. combined analysis	BlastRound5&Infernal	11	75	22	3	20	1	0	0	0	0	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	11	75		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	15	--	18	--	--	--	0	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Escherichia_coli	11	75	22	3	20	1	0	0	0	0	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
