5337iat	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	at_nt_hok_sok_ena	not defined	infernal	0.00065	214178	214238	60	0	0	0	0
954557bt	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	214302	214475	174	1	58	58	5540188
4801it	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	t_pro_hok_sok_ena	not defined	infernal	2.9e-20	214316	214472	156	0	0	0	0
2483it	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	t_nt_hok_sok_ena	not defined	infernal	1e-05	214322	214478	156	0	0	0	0
5232iat	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	at_nt_hok_sok_ena	not defined	infernal	0.0002	1127320	1127381	61	0	0	0	0
6614it	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	t_pro_hok_sok_ena	not defined	infernal	2.9e-18	1127451	1127609	158	0	0	0	0
447394bt	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	1127452	1127622	171	1	57	57	5540188
273253bt	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	214323	214475	153	2	47	47	5540188
4920it	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.5e-19	214325	214470	145	0	0	0	0
4276iat	Klebsiella_quasivariicola_strain_KPN1705_chromosome_complete_genome	genome	+	NZ_CP022823.1	at_nt_hok_sok_tadb_r2	not defined	infernal	8.3e-10	214341	214547	206	0	0	0	0
18844bt	Klebsiella_quasivariicola_strain_KPN1705_plasmid_pKPN1705_2_complete_sequence	genome	-	NZ_CP022825.1	t_nt_hok_sok_tadb_r2	NaN - rows are merged	blastn	NaN - rows are merged	50230	50090	141	3	143	154	97896
403it	Klebsiella_quasivariicola_strain_KPN1705_plasmid_pKPN1705_2_complete_sequence	genome	-	NZ_CP022825.1	t_nt_hok_sok_tadb_r2	not defined	infernal	1.1e-35	50230	50091	139	0	0	0	0
159749bt	Klebsiella_quasivariicola_strain_KPN1705_plasmid_pKPN1705_2_complete_sequence	genome	+	NZ_CP022825.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	50259	50414	156	1	52	52	97896
3345it	Klebsiella_quasivariicola_strain_KPN1705_plasmid_pKPN1705_2_complete_sequence	genome	+	NZ_CP022825.1	t_pro_hok_sok_tadb_r2	not defined	infernal	4.4e-22	50263	50411	148	0	0	0	0
1608iat	Klebsiella_quasivariicola_strain_KPN1705_plasmid_pKPN1705_2_complete_sequence	genome	+	NZ_CP022825.1	at_nt_hok_sok_tadb_r2	not defined	infernal	2e-62	50278	50497	219	0	0	0	0
36342bat	Klebsiella_quasivariicola_strain_KPN1705_plasmid_pKPN1705_2_complete_sequence	genome	+	NZ_CP022825.1	at_nt_hok_sok_tadb_r2	NaN - rows are merged	blastn	NaN - rows are merged	50280	50494	215	3	166	220	97896
