>>>>> statistic <<<<<	NameOfTAS:	zoro_orzo_maxS	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	419	285	853	17	798	21	0	0	0	0	0		
1. sequence analysis	round2	507	285	1007	21	810	23	0	0	0	0	0		
1. sequence analysis	round3	519	279	1100	21	810	23	0	0	0	0	0		
1. sequence analysis	round4	519	279	1100	21	810	23	0	0	0	0	0		
1. sequence analysis	round5	519	279	1100	21	810	23	0	0	0	0	0		
2. structure analysis	structure of round5	521	240	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_zoro_orzo_maxS_round5_0001	---	---	1107	45	---	---	---	---	---	---	---		
2. structure analysis	t_nt_zoro_orzo_maxS_round5_0001	---	---	---	---	832	37	---	---	---	---	---		
3. combined analysis	BlastRound5&Infernal	521	240	1601	35	1620	24	0	0	0	0	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	518	240		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	996	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	151	--	1582	--	--	--	0	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Escherichia_albertii	12	240	24	2	24	2	0	0	0	0	0	
	Escherichia_coli	471	240	1497	26	1518	20	0	0	0	0	0	
	Escherichia_fergusonii	2	204	8	4	6	2	0	0	0	0	0	
	Escherichia_marmotae	1	240	2	1	2	1	0	0	0	0	0	
	Shigella_boydii	8	240	16	3	16	2	0	0	0	0	0	
	Shigella_dysenteriae	2	240	4	2	4	2	0	0	0	0	0	
	Shigella_flexneri	25	240	50	4	50	1	0	0	0	0	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
