>>>>> statistic <<<<<	NameOfTAS:	ldr_rdl	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	861	60	1023	24	1272	42	162	58	1328	42	59		
1. sequence analysis	round2	1991	60	1999	43	2005	59	262	109	4034	174	112		
1. sequence analysis	round3	2009	57	2017	53	2039	77	283	119	5133	208	125		
1. sequence analysis	round4	2011	57	2026	59	2070	87	286	120	5546	214	126		
1. sequence analysis	round5	2011	57	2026	60	2074	89	286	120	5547	215	126		
2. structure analysis	structure of round5	5593	54	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_ldr_rdl_round5_0001	---	---	5649	198	---	---	---	---	---	---	---		
2. structure analysis	t_nt_ldr_rdl_round5_0001	---	---	---	---	5643	229	---	---	---	---	---		
2. structure analysis	t_pro_ldr_rdl_round5_0001	---	---	---	---	---	---	---	---	5663	231	---		
3. combined analysis	BlastRound5&Infernal	5417	54	7429	186	7470	218	0	0	10832	216	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	5416	54		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	2	--	--	--	1	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	7406	--	7467	--	--	--	10830	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Citrobacter_amalonaticus	2	51	2	2	4	2	0	0	2	2	0	
	Citrobacter_braakii	2	51	2	2	4	2	0	0	4	2	0	
	Citrobacter_farmeri	1	51	1	1	2	1	0	0	1	1	0	
	Citrobacter_freundii	31	51	31	10	62	9	0	0	61	9	0	
	Citrobacter_pasteurii	2	51	2	2	2	1	0	0	4	2	0	
	Citrobacter_portucalensis	1	51	1	1	2	1	0	0	2	1	0	
	Citrobacter_rodentium	1	51	1	1	2	1	0	0	1	1	0	
	Citrobacter_sp	3	51	3	3	4	2	0	0	6	3	0	
	Citrobacter_werkmanii	2	51	2	2	4	2	0	0	4	2	0	
	Citrobacter_youngae	2	51	2	2	4	2	0	0	4	2	0	
	Enterobacter_aerogenes	2	51	2	2	2	2	0	0	4	2	0	
	Enterobacteriaceae_bacterium	3	51	5	3	3	3	0	0	6	3	0	
	[Enterobacter]_lignolyticus	1	51	1	1	1	1	0	0	2	1	0	
	Enterobacter_lignolyticus	1	51	1	1	1	1	0	0	2	1	0	
	Escherichia_albertii	12	54	20	8	24	8	0	0	24	8	0	
	Escherichia_coli	3571	54	5353	94	5354	121	0	0	7145	115	0	
	Escherichia_fergusonii	5	51	9	4	10	3	0	0	10	2	0	
	Escherichia_marmotae	2	51	4	2	4	1	0	0	4	1	0	
	Klebsiella_aerogenes	14	51	14	5	14	5	0	0	28	5	0	
	Klebsiella_michiganensis	20	51	20	7	20	5	0	0	40	5	0	
	Klebsiella_oxytoca	38	51	38	9	38	14	0	0	76	14	0	
	Klebsiella_sp	8	51	8	7	8	6	0	0	16	6	0	
	Kluyvera_intermedia	2	51	2	2	0	0	0	0	4	2	0	
	Salmonella_enterica	1385	51	1385	23	1382	27	0	0	2770	27	0	
	Salmonella_sp	3	51	3	2	3	3	0	0	6	3	0	
	Shigella_boydii	59	51	85	16	85	12	0	0	118	12	0	
	Shigella_dysenteriae	57	51	88	20	87	16	0	0	114	17	0	
	Shigella_flexneri	136	51	260	10	260	12	0	0	272	10	0	
	Shigella_sonnei	45	51	75	11	75	10	0	0	90	9	0	
	Shigella_sp	6	51	9	6	9	6	0	0	12	6	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	Shigella_sp_PAMC_28760_chromosome_complete_genome	6	
