>>>>> statistic <<<<<	NameOfTAS:	hok_sok_tadb_sr2	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	539	48	566	72	602	54	305	202	704	94	207		
1. sequence analysis	round2	892	48	895	163	1097	122	972	626	7563	781	666		
1. sequence analysis	round3	1051	48	1059	189	1407	170	1117	740	10573	1161	817		
2. structure analysis	structure of round3	8903	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_hok_sok_tadb_sr2_round2_0001	---	---	8925	1296	---	---	---	---	---	---	---		
2. structure analysis	t_nt_hok_sok_tadb_sr2_round2_0001	---	---	---	---	2679	425	---	---	---	---	---		
2. structure analysis	t_pro_hok_sok_tadb_sr2_round2_0001	---	---	---	---	---	---	---	---	11090	1215	---		
3. combined analysis	BlastRound3&Infernal	6302	48	7175	960	2132	259	0	0	12600	854	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	6282	48		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	1815	--	4	--	--	--	2593	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	5339	--	2094	--	--	--	9936	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Aeromonas_salmonicida	9	0	9	3	9	3	0	0	18	3	0	
	Atlantibacter_hermannii	2	0	2	2	2	2	0	0	4	2	0	
	Candidatus_Fukatsuia	2	0	2	2	2	2	0	0	4	2	0	
	Candidatus_Sodalis	3	0	3	3	2	2	0	0	6	3	0	
	Citrobacter_amalonaticus	2	0	2	2	0	0	0	0	4	2	0	
	Citrobacter_farmeri	2	0	2	2	0	0	0	0	4	2	0	
	Citrobacter_freundii	16	0	21	13	6	4	0	0	32	12	0	
	Citrobacter_rodentium	2	0	2	2	0	0	0	0	4	2	0	
	Citrobacter_sp	5	0	8	5	8	4	0	0	10	3	0	
	Cronobacter_condimenti	1	0	1	1	0	0	0	0	2	2	0	
	Cronobacter_dublinensis	1	0	1	1	0	0	0	0	2	2	0	
	Cronobacter_malonaticus	10	0	11	7	8	4	0	0	20	10	0	
	Cronobacter_muytjensii	2	0	3	2	1	1	0	0	3	3	0	
	Cronobacter_sakazakii	32	0	41	22	20	9	0	0	64	29	0	
	Cronobacter_turicensis	4	0	6	4	3	3	0	0	8	5	0	
	Cronobacter_universalis	3	0	4	3	2	2	0	0	6	4	0	
	Enterobacter_asburiae	7	0	9	7	8	4	0	0	14	12	0	
	Enterobacter_bugandensis	2	0	2	2	1	1	0	0	4	4	0	
	Enterobacter_cancerogenus	1	0	1	1	0	0	0	0	2	2	0	
	Enterobacter_cloacae	122	0	140	60	59	26	0	0	244	76	0	
	Enterobacter_hormaechei	64	0	71	30	21	7	0	0	129	33	0	
	Enterobacteriaceae_bacterium	11	0	13	9	4	1	0	0	22	9	0	
	Enterobacter_kobei	2	0	2	2	0	0	0	0	4	4	0	
	Enterobacter_lignolyticus	2	0	2	2	1	1	0	0	4	2	0	
	Enterobacter_roggenkampii	5	0	6	5	3	3	0	0	10	9	0	
	Enterobacter_sp	18	0	25	18	14	11	0	0	36	25	0	
	Enterobacter_xiangfangensis	2	0	2	2	1	1	0	0	4	4	0	
	Erwinia_amylovora	6	0	12	1	9	1	0	0	12	1	0	
	Erwinia_carotovora	1	0	1	1	0	0	0	0	2	1	0	
	Erwinia_pyrifoliae	3	0	3	1	0	0	0	0	6	2	0	
	Erwinia_sp	1	0	1	1	0	0	0	0	2	2	0	
	Escherichia_albertii	58	0	68	44	15	7	0	0	116	34	0	
	Escherichia_coli	4033	48	4538	362	1283	72	0	0	8062	246	0	
	Escherichia_fergusonii	6	0	7	6	4	2	0	0	12	7	0	
	Escherichia_marmotae	4	0	4	3	1	1	0	0	8	3	0	
	Hafnia_alvei	12	0	12	11	4	3	0	0	24	13	0	
	Hafnia_sp	3	0	3	3	1	1	0	0	6	4	0	
	Klebsiella_aerogenes	11	0	16	8	2	1	0	0	22	9	0	
	Klebsiella_michiganensis	18	0	20	8	1	1	0	0	36	7	0	
	Klebsiella_oxytoca	47	0	54	24	15	7	0	0	94	22	0	
	Klebsiella_pneumoniae	712	0	929	79	264	19	0	0	1424	51	0	
	Klebsiella_quasipneumoniae	17	0	20	7	3	2	0	0	34	7	0	
	Klebsiella_quasivariicola	2	0	3	2	2	1	0	0	4	2	0	
	Klebsiella_sp	12	0	15	12	4	2	0	0	24	14	0	
	Klebsiella_variicola	36	0	50	18	19	5	0	0	72	19	0	
	Kluyvera_intermedia	1	0	1	1	1	1	0	0	2	1	0	
	Kosakonia_cowanii	4	0	4	3	4	4	0	0	8	3	0	
	Kosakonia_sacchari	2	0	4	2	2	1	0	0	4	2	0	
	Kosakonia_sp	1	0	1	1	1	1	0	0	2	1	0	
	Leclercia_adecarboxylata	2	0	2	2	0	0	0	0	4	4	0	
	Leclercia_sp	5	0	6	4	3	2	0	0	10	6	0	
	Lelliottia_amnigena	2	0	2	2	1	1	0	0	4	4	0	
	Lelliottia_nimipressuralis	3	0	3	3	1	1	0	0	6	5	0	
	Lelliottia_sp	2	0	2	2	2	1	0	0	4	3	0	
	Metakosakonia_sp	1	0	2	1	0	0	0	0	2	1	0	
	Obesumbacterium_proteus	2	0	2	2	1	1	0	0	4	3	0	
	Pantoea_sp	2	0	2	1	0	0	0	0	4	1	0	
	Pantoea_stewartii	1	0	1	1	0	0	0	0	2	2	0	
	Photobacterium_damselae	1	0	1	1	0	0	0	0	2	2	0	
	Photorhabdus_asymbiotica	3	0	3	2	3	2	0	0	6	4	0	
	Photorhabdus_laumondii	5	0	5	2	4	2	0	0	10	4	0	
	Photorhabdus_luminescens	5	0	5	2	4	2	0	0	10	4	0	
	Phytobacter_ursingii	2	0	3	2	0	0	0	0	4	2	0	
	Pluralibacter_gergoviae	6	0	6	5	0	0	0	0	12	8	0	
	Raoultella_ornithinolytica	4	0	8	3	2	1	0	0	8	3	0	
	Raoultella_planticola	2	0	4	2	0	0	0	0	4	2	0	
	Raoultella_terrigena	1	0	2	1	2	1	0	0	2	2	0	
	Rouxiella_sp	1	0	1	1	1	1	0	0	2	1	0	
	Salmonella_enterica	329	0	334	40	34	10	0	0	658	36	0	
	Salmonella_sp	1	0	1	1	0	0	0	0	2	1	0	
	Serratia_ficaria	1	0	1	1	1	1	0	0	2	2	0	
