>>>>> statistic <<<<<	NameOfTAS:	tisb_istr_smax	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	428	300	564	23	730	8	16	10	0	0	0		
1. sequence analysis	round2	690	300	740	31	1431	18	26	15	176	4	15		
1. sequence analysis	round3	692	300	740	31	1542	34	27	16	176	4	16		
1. sequence analysis	round4	692	300	740	31	1564	43	27	16	176	4	16		
1. sequence analysis	round5	692	300	740	31	1569	48	27	16	176	4	16		
2. structure analysis	structure of round5	1760	330	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_tisb_istr_smax_round5_0001	---	---	2198	165	---	---	---	---	---	---	---		
2. structure analysis	t_nt_tisb_istr_smax_round5_0001	---	---	---	---	2220	89	---	---	---	---	---		
2. structure analysis	t_pro_tisb_istr_smax_round5_0001	---	---	---	---	---	---	---	---	2181	85	---		
3. combined analysis	BlastRound5&Infernal	1512	297	2222	116	3010	56	0	0	1682	60	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	1512	297		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	1036	--	3003	--	--	--	1682	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Citrobacter_amalonaticus	3	255	3	3	6	3	0	0	3	3	0	
	Citrobacter_braakii	2	255	2	2	4	2	0	0	2	2	0	
	Citrobacter_farmeri	1	252	1	1	2	1	0	0	1	1	0	
	Citrobacter_freundii	31	255	31	8	62	4	0	0	31	4	0	
	Citrobacter_koseri	6	252	6	2	12	2	0	0	6	2	0	
	Citrobacter_pasteurii	1	252	1	1	2	1	0	0	1	1	0	
	Citrobacter_portucalensis	1	255	1	1	2	1	0	0	1	1	0	
	Citrobacter_sp	7	255	7	6	14	5	0	0	7	5	0	
	Citrobacter_werkmanii	3	255	3	3	6	2	0	0	3	2	0	
	Citrobacter_youngae	2	255	2	2	4	2	0	0	2	2	0	
	Enterobacter_asburiae	5	252	5	4	10	3	0	0	5	3	0	
	Enterobacter_bugandensis	1	252	1	1	2	1	0	0	1	1	0	
	Enterobacter_cancerogenus	1	255	1	1	2	1	0	0	1	1	0	
	Enterobacter_cloacae	54	255	54	21	108	15	0	0	54	16	0	
	Enterobacter_hormaechei	24	252	24	6	48	3	0	0	24	4	0	
	Enterobacteriaceae_bacterium	2	255	2	2	4	2	0	0	2	2	0	
	Enterobacter_kobei	2	252	2	1	4	2	0	0	2	2	0	
	Enterobacter_ludwigii	1	255	1	1	2	1	0	0	1	1	0	
	Enterobacter_roggenkampii	4	252	4	4	8	1	0	0	4	1	0	
	Enterobacter_sp	9	282	9	7	18	6	0	0	9	7	0	
	Enterobacter_xiangfangensis	1	252	1	1	2	1	0	0	1	1	0	
	Escherichia_coli	629	297	1259	26	1244	12	0	0	639	12	0	
	Escherichia_fergusonii	2	297	4	1	4	1	0	0	2	1	0	
	Leclercia_adecarboxylata	2	255	2	2	4	1	0	0	2	1	0	
	Leclercia_sp	1	255	1	1	2	1	0	0	1	1	0	
	Lelliottia_amnigena	3	255	3	2	6	2	0	0	3	2	0	
	Lelliottia_nimipressuralis	1	252	1	1	2	1	0	0	1	1	0	
	Salmonella_bongori	4	288	4	2	8	1	0	0	4	1	0	
	Salmonella_enterica	628	288	628	14	1256	4	0	0	788	5	0	
	Salmonella_sp	2	288	2	2	4	1	0	0	2	1	0	
	Shigella_boydii	16	297	32	4	32	1	0	0	16	1	0	
	Shigella_dysenteriae	24	297	48	6	48	1	0	0	24	1	0	
	Shigella_flexneri	33	297	65	4	66	1	0	0	33	1	0	
	Shigella_sonnei	5	297	10	1	10	1	0	0	5	1	0	
	Shigella_sp	1	297	2	1	2	1	0	0	1	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
